"LVIV Jul-Oct 2020 GeoMag (Bx). Smooth Spline Int."
Time        Bx
234.218798153976        19856.9445160466         
234.220217232416        19856.6431493904         
234.221636310857        19856.3549894606         
234.223055389297        19856.0977037468         
234.224474467738        19855.8580919669         
234.225893546178        19855.6014169609         
234.227312624619        19855.274653878          
234.228731703059        19854.8750704545         
234.2301507815          19854.4551489087         
234.23156985994         19854.073653921          
234.232988938381        19853.7552720659         
234.234408016822        19853.4906147776         
234.235827095262        19853.1977298952         
234.237246173703        19852.802147042          
234.238665252143        19852.3499077231         
234.240084330584        19851.9468523303         
234.241503409024        19851.6740757418         
234.242922487465        19851.5139569514         
234.244341565905        19851.3344072633         
234.245760644346        19851.0481174625         
234.247179722786        19850.6707090909         
234.248598801227        19850.2184398274         
234.250017879667        19849.6975541229         
234.251436958108        19849.1710580398         
234.252856036548        19848.7174243299         
234.254275114989        19848.3658228806         
234.255694193429        19848.1204751848         
234.25711327187         19847.9355092017         
234.258532350311        19847.7216801033         
234.259951428751        19847.4365378787         
234.261370507192        19847.08817882           
234.262789585632        19846.6985646292         
234.264208664073        19846.2829568017         
234.265627742513        19845.8398142375         
234.267046820954        19845.3573879382         
234.268465899394        19844.873662101          
234.269884977835        19844.5149309056         
234.271304056275        19844.4183286331         
234.272723134716        19844.5849985733         
234.274142213156        19844.8173158303         
234.275561291597        19844.8487756568         
234.276980370037        19844.5674765574         
234.278399448478        19844.0410650554         
234.279818526918        19843.3715586414         
234.281237605359        19842.6442158258         
234.2826566838          19841.9886265646         
234.28407576224         19841.520887577          
234.285494840681        19841.3007193778         
234.286913919121        19841.341190173          
234.288332997562        19841.5788049056         
234.289752076002        19841.839263241          
234.291171154443        19841.9182893882         
234.292590232883        19841.7096159614         
234.294009311324        19841.1927599106         
234.295428389764        19840.4239787757         
234.296847468205        19839.5836043932         
234.298266546645        19838.8930287398         
234.299685625086        19838.4880446123         
234.301104703526        19838.3505931339         
234.302523781967        19838.3341113334         
234.303942860407        19838.3129187711         
234.305361938848        19838.2597672579         
234.306781017288        19838.2222374778         
234.308200095729        19838.1636993865         
234.30961917417         19837.9954490976         
234.31103825261         19837.6868235725         
234.312457331051        19837.2501597732         
234.313876409491        19836.7676315862         
234.315295487932        19836.3228536059         
234.316714566372        19835.9470527878         
234.318133644813        19835.6419370971         
234.319552723253        19835.4226179251         
234.320971801694        19835.3176266503         
234.322390880134        19835.2631219253         
234.323809958575        19835.1595500091         
234.325229037015        19835.008334745          
234.326648115456        19834.8408776363         
234.328067193896        19834.6687325352         
234.329486272337        19834.5006421322         
234.330905350777        19834.3135015159         
234.332324429218        19834.0736657188         
234.333743507658        19833.7479502512         
234.335162586099        19833.3847175838         
234.33658166454         19833.0910268897         
234.33800074298         19832.9291422465         
234.339419821421        19832.9053121378         
234.340838899861        19832.9936374392         
234.342257978302        19833.1617937593         
234.343677056742        19833.3845609585         
234.345096135183        19833.6087465178         
234.346515213623        19833.7819416171         
234.347934292064        19833.9282932954         
234.349353370504        19834.0926939166         
234.350772448945        19834.3148707132         
234.352191527385        19834.623529897          
234.353610605826        19835.0311497663         
234.355029684266        19835.4891608944         
234.356448762707        19835.9289204367         
234.357867841147        19836.3401379573         
234.359286919588        19836.7527615262         
234.360705998029        19837.1131064757         
234.362125076469        19837.2450188832         
234.36354415491         19837.0520498431         
234.36496323335         19836.6920774822         
234.366382311791        19836.4472207965         
234.367801390231        19836.4604564537         
234.369220468672        19836.7176069088         
234.370639547112        19837.1902931127         
234.372058625553        19837.8169725567         
234.373477703993        19838.4905151924         
234.374896782434        19839.0869002533         
234.376315860874        19839.5176023155         
234.377734939315        19839.7219351583         
234.379154017755        19839.7225198086         
234.380573096196        19839.6256107909         
234.381992174636        19839.551213245          
234.383411253077        19839.5602205625         
234.384830331518        19839.6578236315         
234.386249409958        19839.8222550503         
234.387668488399        19840.0382470119         
234.389087566839        19840.3155841237         
234.39050664528         19840.6313579812         
234.39192572372         19840.9112116157         
