t,x,y,z
10.17153,19842.4,2201.1,45637.4
10.17222,19842.7,2201.7,45636.9
10.17292,19843.7,2202.4,45634.6
10.17361,19843.1,2201.0,45637.0
10.17431,19842.7,2200.7,45637.7
10.175,19842.5,2201.2,45637.5
10.17569,19842.1,2201.5,45637.7
10.17639,19842.6,2202.0,45637.3
10.17708,19843.6,2202.8,45635.8
10.17778,19842.0,2201.8,45640.0
10.17847,19842.3,2202.6,45638.7
10.17917,19842.8,2202.8,45637.8
10.17986,19843.3,2202.6,45637.3
10.18056,19844.2,2202.7,45635.4
10.18125,19843.9,2202.4,45636.2
10.18194,19843.8,2203.1,45635.1
10.18264,19843.7,2202.9,45635.4
10.18333,19842.3,2201.7,45639.2
10.18403,19843.4,2202.1,45637.9
10.18472,19843.9,2202.4,45637.4
10.18542,19844.6,2201.9,45637.0
10.18611,19844.4,2201.8,45637.1
10.18681,19844.8,2202.7,45635.4
10.1875,19844.1,2202.8,45637.1
10.18819,19846.2,2203.2,45634.4
10.18889,19845.6,2202.7,45636.9
10.18958,19845.8,2204.4,45634.7
10.19028,19845.9,2204.6,45634.4
10.19097,19846.5,2204.3,45634.4
10.19167,19846.0,2204.8,45635.1
10.19236,19845.7,2204.7,45634.9
10.19306,19845.9,2204.5,45634.1
10.19375,19846.0,2204.4,45634.0
10.19444,19845.9,2205.1,45634.6
10.19514,19846.8,2204.9,45634.4
10.19583,19847.4,2204.8,45634.0
10.19653,19847.6,2204.7,45633.9
10.19722,19847.5,2204.6,45634.1
10.19792,19847.2,2204.7,45634.2
10.19861,19846.9,2204.6,45634.3
10.19931,19847.1,2204.7,45634.2
10.2,19847.2,2205.0,45634.5
10.20069,19847.7,2205.3,45634.5
10.20139,19847.8,2205.3,45634.7
10.20208,19847.6,2205.2,45634.9
10.20278,19847.4,2205.0,45634.5
10.20347,19847.8,2204.9,45634.1
10.20417,19847.8,2204.9,45634.2
10.20486,19847.8,2204.3,45633.7
10.20556,19847.2,2204.0,45633.4
10.20625,19847.3,2203.8,45633.6
10.20694,19847.9,2203.4,45633.5
10.20764,19848.2,2203.1,45633.2
10.20833,19847.6,2203.1,45633.3
10.20903,19847.4,2203.4,45633.4
10.20972,19847.2,2202.8,45633.2
10.21042,19846.8,2202.9,45633.8
10.21111,19846.5,2203.4,45634.9
10.21181,19846.6,2203.5,45634.3
10.2125,19846.7,2203.2,45634.6
10.21319,19847.1,2203.7,45632.9
10.21389,19845.8,2203.8,45634.4
10.21458,19845.7,2204.3,45634.5
10.21528,19845.8,2204.5,45634.2
10.21597,19846.7,2204.4,45633.8
10.21667,19846.4,2204.2,45634.2
10.21736,19845.8,2203.9,45633.4
10.21806,19845.1,2204.3,45633.5
10.21875,19845.6,2204.3,45633.4
10.21944,19845.6,2203.9,45633.2
10.22014,19845.3,2204.1,45633.0
10.22083,19845.2,2204.0,45632.7
10.22153,19845.1,2203.9,45632.5
10.22222,19845.1,2204.5,45632.9
10.22292,19845.5,2204.8,45632.4
10.22361,19845.0,2205.3,45633.0
10.22431,19845.6,2206.0,45632.9
10.225,19845.1,2206.3,45633.7
10.22569,19845.4,2206.5,45633.1
10.22639,19845.0,2207.1,45633.2
10.22708,19845.1,2207.2,45632.9
10.22778,19844.6,2207.5,45633.3
10.22847,19845.0,2207.8,45633.0
10.22917,19844.6,2207.6,45633.6
10.22986,19844.9,2207.5,45633.6
10.23056,19845.7,2207.5,45633.5
10.23125,19845.9,2207.2,45632.9
10.23194,19845.3,2206.6,45633.0
10.23264,19845.6,2205.9,45632.1
10.23333,19845.1,2205.3,45632.8
10.23403,19845.0,2205.2,45632.9
10.23472,19844.8,2205.0,45632.5
10.23542,19844.6,2204.7,45632.5
10.23611,19844.1,2204.5,45632.5
10.23681,19843.5,2204.6,45632.6
10.2375,19844.0,2204.8,45631.7
10.23819,19843.6,2204.6,45632.0
10.23889,19843.1,2204.7,45631.8
10.23958,19843.0,2204.9,45631.9
10.24028,19843.4,2205.5,45632.2
10.24097,19844.9,2205.5,45631.6
10.24167,19844.3,2205.3,45633.1
10.24236,19844.3,2205.2,45633.2
10.24306,19844.0,2205.4,45633.4
10.24375,19844.0,2205.9,45633.2
10.24444,19844.4,2206.5,45633.1
10.24514,19844.5,2207.0,45633.0
10.24583,19845.7,2207.6,45632.0
10.24653,19847.1,2208.1,45631.3
10.24722,19847.9,2208.4,45630.6
10.24792,19847.3,2209.0,45630.9
10.24861,19847.5,2209.9,45630.8
10.24931,19847.8,2210.3,45631.0
10.25,19847.2,2210.0,45632.4
10.25069,19847.4,2209.9,45632.3
10.25139,19847.7,2210.0,45632.0
10.25208,19847.1,2209.7,45632.5
10.25278,19847.4,2209.1,45631.8
10.25347,19847.0,2209.0,45632.0
10.25417,19846.2,2208.9,45632.4
10.25486,19845.7,2209.0,45632.2
10.25556,19846.0,2209.0,45631.6
10.25625,19845.8,2208.9,45631.5
10.25694,19845.7,2209.0,45631.4
10.25764,19845.6,2209.0,45630.7
10.25833,19845.4,2209.1,45630.5
10.25903,19845.3,2209.4,45630.9
10.25972,19845.9,2209.7,45630.7
10.26042,19845.8,2209.7,45631.1
10.26111,19846.4,2209.4,45630.5
10.26181,19846.1,2209.2,45630.5
10.2625,19845.8,2209.8,45630.8
10.26319,19846.0,2210.5,45630.7
10.26389,19846.0,2210.7,45630.4
10.26458,19845.9,2210.8,45630.4
10.26528,19846.3,2211.2,45630.2
10.26597,19845.9,2211.2,45630.7
10.26667,19845.8,2210.8,45630.2
10.26736,19845.7,2210.6,45630.3
10.26806,19846.2,2210.7,45629.8
10.26875,19846.3,2210.4,45629.9
10.26944,19845.9,2209.9,45629.8
10.27014,19845.4,2210.0,45630.4
10.27083,19845.9,2210.0,45630.1
10.27153,19845.4,2209.7,45631.3
10.27222,19845.4,2209.7,45631.3
10.27292,19845.3,2209.8,45631.6
10.27361,19845.3,2210.0,45631.6
10.27431,19845.3,2210.0,45631.7
10.275,19845.0,2210.1,45632.0
10.27569,19845.1,2210.3,45632.0
10.27639,19845.6,2210.1,45631.4
10.27708,19846.1,2209.9,45630.3
10.27778,19845.9,2209.6,45630.8
10.27847,19846.3,2209.7,45630.7
10.27917,19846.1,2209.6,45630.9
10.27986,19845.9,2209.4,45630.9
10.28056,19846.4,2209.4,45630.1
10.28125,19846.3,2209.3,45630.3
10.28194,19847.0,2209.8,45629.6
10.28264,19847.0,2210.2,45629.1
10.28333,19846.8,2210.5,45628.7
10.28403,19846.3,2210.9,45629.3
10.28472,19846.3,2211.1,45629.5
10.28542,19846.6,2211.0,45629.3
10.28611,19846.3,2211.2,45629.6
10.28681,19846.2,2211.5,45629.5
10.2875,19846.3,2211.6,45629.5
10.28819,19846.9,2211.4,45629.0
10.28889,19847.0,2211.3,45629.4
10.28958,19846.9,2211.3,45629.4
10.29028,19846.8,2211.1,45629.2
10.29097,19846.7,2211.0,45629.5
10.29167,19846.6,2211.3,45629.4
10.29236,19846.9,2211.3,45629.1
10.29306,19846.8,2211.1,45628.8
10.29375,19846.5,2210.9,45628.4
10.29444,19846.3,2210.8,45628.3
10.29514,19846.1,2210.5,45628.4
10.29583,19845.7,2210.4,45628.7
10.29653,19846.0,2210.4,45628.1
10.29722,19846.1,2210.4,45628.2
10.29792,19845.8,2210.4,45628.4
10.29861,19845.7,2210.4,45628.6
10.29931,19845.6,2210.7,45628.4
10.3,19845.7,2210.6,45628.4
10.30069,19845.6,2210.6,45628.8
10.30139,19845.9,2210.7,45628.8
10.30208,19845.8,2210.6,45628.9
10.30278,19845.9,2210.5,45628.5
10.30347,19845.5,2210.0,45628.8
10.30417,19845.8,2209.7,45628.4
10.30486,19845.4,2209.5,45628.6
10.30556,19846.1,2209.3,45628.0
10.30625,19845.2,2209.5,45629.0
10.30694,19845.4,2209.7,45628.4
10.30764,19845.7,2210.0,45627.9
10.30833,19844.6,2210.2,45629.1
10.30903,19844.8,2210.4,45628.7
10.30972,19844.7,2210.7,45628.5
10.31042,19844.3,2210.8,45629.0
10.31111,19844.6,2210.5,45628.8
10.31181,19844.4,2210.6,45629.2
10.3125,19844.6,2210.9,45629.0
10.31319,19844.3,2210.6,45629.7
10.31389,19844.9,2210.5,45629.3
10.31458,19845.1,2209.9,45629.2
10.31528,19845.5,2209.4,45628.4
10.31597,19845.4,2209.4,45628.5
10.31667,19844.7,2209.7,45629.0
